x (mm)[mm],y (mm)[mm],U[m/s],V[m/s],Std dev (U)[m/s],Std dev (V)[m/s],uuu,vvv,uuv,uvv,Covar (U,N
56.827910958904,0.663527397260273,-inf,inf,,,,,,,,0
57.5128424657534,0.663527397260273,-inf,inf,,,,,,,,0
58.197773972602704,0.663527397260273,-inf,inf,,,,,,,,0
58.882705479452,0.663527397260273,-inf,inf,,,,,,,,0
59.567636986301295,0.663527397260273,-inf,inf,,,,,,,,0
60.252568493150605,0.663527397260273,-inf,inf,,,,,,,,0
60.93749999999989,0.663527397260273,-inf,inf,,,,,,,,0
61.6224315068492,0.663527397260273,,,,,,,,,,0
62.3073630136986,0.663527397260273,,,,,,,,,,0
62.992294520547894,0.663527397260273,,,,,,,,,,0
63.677226027397204,0.663527397260273,,,,,,,,,,0
64.3621575342465,0.663527397260273,,,,,,,,,,0
65.0470890410958,0.663527397260273,,,,,,,,,,0
65.7320205479451,0.663527397260273,,,,,,,,,,0
66.4169520547944,0.663527397260273,,,,,,,,,,0
67.1018835616437,0.663527397260273,,,,,,,,,,0
67.7868150684931,0.663527397260273,,,,,,,,,,0
68.4717465753424,0.663527397260273,,,,,,,,,,0
69.1566780821917,0.663527397260273,,,,,,,,,,0
0.663527397260273,1.34845890410959,,,,,,,,,,0
1.34845890410959,1.34845890410959,,,,,,,,,,0
2.0333904109589,1.34845890410959,,,,,,,,,,0
2.7183219178082205,1.34845890410959,,,,,,,,,,0
3.4032534246575294,1.34845890410959,-inf,inf,,,,,,,,0
4.08818493150684,1.34845890410959,-inf,inf,,,,,,,,0
4.77311643835616,1.34845890410959,-inf,-inf,,,,,,,,0
5.458047945205469,1.34845890410959,-inf,-inf,,,,,,,,0
6.1429794520547905,1.34845890410959,-inf,-inf,,,,,,,,0
6.827910958904099,1.34845890410959,-0.0021132290921143907,0.003800236710486713,0.05726659862940662,0.012403916926793828,-0.0004738786355582027,3.351798705000642e-06,1.137790240049855e-05,-1.4710544331676077e-05,-0.00014299802017428707,1583
7.512842465753419,1.34845890410959,-0.012688522129480021,0.005776747504898557,0.05952449020014657,0.011179423976698006,-0.000438231903246191,6.333296501361215e-06,-2.3123247989167157e-05,-1.767147504597229e-05,3.970211687244797e-05,1677
